,Features,Coefficient,Explained Variance,Mean Absolute Error
0,AdultWeekday,20.128806328233647,,
1,clusters,2.647871467009405,,
2,vertical_drop,2.0643053660903634,,
3,triple,1.4509746768559038,,
4,Runs,1.36187330057171,,
5,surface,1.2504840734198577,,
6,quad,1.2391269419542177,,
7,daysOpenLastYear,1.2015221183436668,,
8,averageSnowfall,0.9872765269846858,,
9,fastQuads,0.767482427590145,,
10,total_chairs,0.6418315915926042,,
11,projectedDaysOpen,0.5877440246052723,,
12,fastSixes,0.4657053245143758,,
13,NightSkiing_ac,0.42349614673782554,,
14,LongestRun_mi,0.3166455300392656,,
15,TerrainParks,0.2890758564277739,,
16,trams,0.28583710690032726,,
17,double,0.2695904060016042,,
18,yearsOpen,0.25552797351709633,,
19,SkiableTerrain_ac,0.12404901273231292,,
20,Snow Making_ac,0.0867404249485579,,
21,fastEight,0.037435947373712614,,
22,,,0.9365302558936701,5.094973346971156
